cell_id,node_0,node_1,node_2,node_3,region_id,region_name
386,6172,4471,5185,4473,0,silica
387,6971,6972,6973,6974,0,silica
388,6214,6045,6046,5011,0,silica
389,6172,5185,6377,5195,0,silica
390,6942,6941,6621,6975,0,silica
391,6377,5185,6343,5048,0,silica
392,5945,5046,5948,5289,0,silica
393,6942,6975,6976,223,0,silica
394,6416,3947,6437,4135,0,silica
395,6565,4872,4807,39,0,silica
396,6770,6551,6977,6978,0,silica
397,6979,6773,6774,6857,0,silica
398,6534,1644,1645,4809,0,silica
399,6980,6981,6982,6983,0,silica
400,6214,43,1652,4477,0,silica
401,6377,5195,5185,5048,0,silica
402,5269,6060,6375,6341,0,silica
403,5248,6047,5188,5640,0,silica
404,6530,6533,6532,6984,0,silica
405,5650,1360,1361,5056,0,silica
406,5269,6214,5011,5365,0,silica
407,6172,4473,5185,5195,0,silica
408,6375,5950,5050,5188,0,silica
409,6046,5248,5269,5011,0,silica
410,6534,1644,1643,4407,0,silica
411,6985,6986,6987,6988,0,silica
412,6214,5365,4475,1652,0,silica
413,6980,6982,6981,6989,0,silica
414,259,6850,6990,6991,0,silica
415,5601,4475,5365,4471,0,silica
416,6992,6594,6889,5301,0,silica
417,6047,6046,5964,5248,0,silica
418,6576,6465,3581,6461,0,silica
419,1644,4808,4810,5248,0,silica
420,6534,4811,4812,4810,0,silica
421,944,6993,3161,1015,0,silica
422,6046,6045,5248,5011,0,silica
423,6994,6995,6659,6996,0,silica
424,1644,4808,4809,4810,0,silica
425,6045,4808,5011,1652,0,silica
426,6534,1644,4809,4810,0,silica
427,6045,1645,4808,1652,0,silica
428,6539,36,6488,6540,0,silica
429,6550,4814,5204,4816,0,silica
430,6997,6466,6467,1551,0,silica
431,6565,5220,4811,4809,0,silica
432,6534,4809,4811,4810,0,silica
433,1645,1652,4807,4808,0,silica
434,6998,4342,3933,3939,0,silica
435,6383,43,4486,1652,0,silica
436,6565,4872,5220,4809,0,silica
437,6045,1645,1644,4808,0,silica
438,6467,1644,4407,1552,0,silica
439,1645,4807,6383,39,0,silica
440,6383,1652,4486,4807,0,silica
441,6999,7000,7001,7002,0,silica
442,7003,6850,7004,7005,0,silica
